Original,Modern Country,Notes
Spanish Town,Jamaica,"Former capital of Jamaica, located near Kingston"
Rio Grande do Sul Province,Brazil,Refers to the state of Rio Grande do Sul in Brazil
Ocoa,Dominican Republic,Likely refers to the Bay of Ocoa in the Dominican Republic
Middletown,United States,"Several cities called Middletown exist in the US. Historical context might point towards Middletown, Connecticut."
Londontowne,United States,"Historic settlement site in Maryland, now an archaeological park"
Hamilton (Bermuda),Bermuda,Capital of Bermuda
"Gustavia, St. Barthelemy",Saint-Barthélemy,Capital of the French overseas territory of Saint-Barthélemy
Georgia,United States,State in the United States
Delaware River,United States,River flowing through several states in the northeastern US
Baracoa,Cuba,City on the eastern coast of Cuba
???,Unknown,"Without any context, it's impossible to determine a modern equivalent."
Annotto Bay,Jamaica,Town on the north coast of Jamaica
New London,United States,"City in Connecticut, USA"
Wiamba,Uncertain,"Without more context, it's difficult to pinpoint. Could be a historical name, a smaller place, or potentially a misspelling."
Mobile,United States,"City in Alabama, USA"
"Magari, Manzanillo",Mexico,"Could refer to multiple locations, or be misspellings. More context and research would be needed for a definitive answer."
British Honduras,Belize,Former name of Belize
Samana,Dominican Republic,Could refer to the Samaná province or the town of Santa Bárbara de Samaná in the Dominican Republic
Saint Ann's Bay,Jamaica,Town on the north coast of Jamaica
Maldonado,Uruguay,City in Uruguay
Lima,Peru,Capital city of Peru
France,France,Country in Europe
Cumingsberg,Guyana,"Potentially a place related to a person with the surname Cummings, or a localized historical name. More context is needed."
Campeche,Mexico,City and state in Mexico
Alagoas province,Brazil,State in Brazil
Trade Town,Uncertain,"Likely refers to a historic trading settlement, but precise location would depend on the specific trade network and time period"
Touau-Toro (location undetermined),Uncertain,Potentially a very localized or historical place name. More research and context would be needed.
Tabou,Côte d'Ivoire (Ivory Coast),Town in Côte d'Ivoire
Sugary (Siekere),Uncertain,"Potentially a small, localized, or historic place name. Without context it's difficult to pinpoint."
St. Paul,Multiple possibilities,"Could refer to the city of Saint Paul, Minnesota, or various places named after the saint globally. Historical context is needed."
St. Lawrence,Canada (likely),"Could refer to the St. Lawrence River, primarily in Canada, or the Gulf of St. Lawrence."
Soyo,Angola,Town in Angola
Sofala,Mozambique,"Could refer to the port city of Sofala, or the former Sofala Province in Mozambique"
Newport,Likely United States,"Could refer to the city of Newport, Rhode Island, USA, prominent historically. Other Newports exist, but historical context may suggest Rhode Island."
Port Maria,Jamaica,Town on the north coast of Jamaica
Canary Islands,Spain,Archipelago off the coast of Spain
Arcahaie,Haiti,Town in Haiti
Settra Kru,Liberia,Likely refers to the town of Settra Kroo in Liberia
Senegambia or Sierra Leone,"Senegal, Gambia, and potentially Sierra Leone",Refers to a general region in West Africa. Historical context is needed to determine if a specific modern-day country was intended.
Le Havre,France,City in France
Scarcies,Sierra Leone,Likely refers to the Great Scarcies River or Little Scarcies River in Sierra Leone
Sassandra,Côte d'Ivoire (Ivory Coast),Town in Côte d'Ivoire
Lagos,Nigeria,Major city in Nigeria
Salinas,Uncertain,"Places named Salinas exist in numerous countries (e.g., USA, Ecuador, Brazil, Spain). Historical context would help narrow it down."
River Kissey,Likely Sierra Leone,There's a Kissi River in Sierra Leone. Spelling variations in historical records are common.
Nassau,The Bahamas,Capital of The Bahamas
Rio Grande,Multiple,"Refers to major rivers in the USA (the Rio Grande forming the border with Mexico), Brazil (Rio Grande do Sul), Nicaragua, and others."
Rio Dande (N of Luanda),Angola,"River in Angola, north of Luanda"
Rio Assini,Côte d'Ivoire (Ivory Coast),River flowing through Côte d'Ivoire
Southeast Brazil,Brazil,"Refers to the general southeastern region of Brazil (states of Rio de Janeiro, Sao Paulo, Minas Gerais, Espírito Santo)."
Quicombo,Angola,Town in Angola
Princes Island and Elmina,São Tomé and Príncipe & Ghana,Princes Island is part of São Tomé and Príncipe. Elmina is a coastal town in Ghana.
Portudal,Uncertain,Could be a localized or historical port. More context or research is needed for a definitive answer.
place_of_purchase,n/a,This likely refers to the location where goods or enslaved people were purchased within the context of historical trade routes.
port_arrival,n/a,This likely refers to the place where a ship arrived in the context of historical trade routes.
Petit Mesurado,Liberia,Likely refers to a region near the Mesurado River in Liberia.
Penido,Uncertain,"Could be a small town, historical place name, or potentially related to a surname. More context is needed."
Oere,Uncertain,Potentially a historical or localized place name. More research and context are needed to pinpoint it.
"Dutch Caribbean, colony unspecified",Multiple,"Refers to former Dutch colonies in the Caribbean (e.g., islands of Aruba, Curacao, Bonaire, Sint Eustatius, etc.). More context needed for a specific island."
Ile de France,Mauritius,Former name of the island of Mauritius
Cienfuegos,Cuba,City in Cuba
Cananeia,Brazil,"Town in the state of Sao Paulo, Brazil"
Mayumba,Gabon,City in Gabon
Mascarene Islands,"Multiple (primarily Réunion, Mauritius)","Island group in the Indian Ocean including Réunion (a French overseas territory), Mauritius, and Rodrigues (part of Mauritius)"
Perth Amboy,United States,"City in New Jersey, USA"
Santo Tomas,Multiple,"Could refer to Santo Tomás in various Spanish-speaking countries or São Tomé, part of São Tomé and Príncipe"
Porto de Galinhas,Brazil,"Beach town in the state of Pernambuco, Brazil"
Ilha de Paqueta,Brazil,"Island within Guanabara Bay, part of the city of Rio de Janeiro, Brazil"
Ilha de Lobes,Uncertain,Potentially a small or historical island. More context would be needed for a definitive answer.
Ilha das Palmas,Brazil,Potentially a small island off the coast of Brazil. More context and research would be needed to pinpoint it.
Mole Saint Nicolas,Haiti,Town in Haiti
Little Junk,Uncertain,Likely refers to a small river or coastal area. Historical context would help determine the region.
Legas,Uncertain,"Potentially a smaller, historical place name, or related to a surname. More context is needed."
Lay,Uncertain,"Could be a small town, a misspelling, or a localized name. More context would be needed for a definitive answer."
Maceo,Uncertain,"Potentially a misspelling of Maceió (a city in Brazil), or a reference to figures with a similar surname (e.g., Antonio Maceo, Cuban revolutionary leader). More context is needed."
Kilongo,Uncertain,"Could be a reference to a place, person, or language/cultural group in Africa. More historical context or research is needed for precision."
"Joal, or Saloum River",Senegal,Likely refers to the town of Joal-Fadiouth at the mouth of the Saloum River in Senegal
Ivory Coast,Côte d'Ivoire,Country in West Africa
Ibo,Could refer to several locations,"Likely the island of Ibo off the coast of Mozambique, or a people/language group related to the Igbo of Nigeria. Historical context is key."
Gulf of Guinea islands,Multiple,"Refers to islands such as Bioko (Equatorial Guinea), São Tomé and Príncipe in the Gulf of Guinea, off the coast of Africa"
Grenada Point,Grenada,Could refer to a coastal location in various places named Grenada. More context is needed.
Grand Popo,Benin,Coastal town in Benin
Bissagos,Guinea-Bissau,Archipelago off the coast of Guinea-Bissau
Grand Junk,Uncertain,Could refer to a coastal region or a type of ship used in historic trade. More context and research would be needed.
Grand Bassam,Côte d'Ivoire (Ivory Coast),Historic town in Côte d'Ivoire
Stabroek,Guyana,"Historical name for a district that is now central Georgetown, the capital of Guyana"
Portugal,Portugal,Country in Europe
Nevis,Saint Kitts and Nevis,Smaller of the two main islands forming the nation of Saint Kitts and Nevis
Kingston (Demerara),Guyana,"Likely refers to Georgetown, Guyana. Demerara was a historical region within Guyana."
Caribbean,Multiple,"Broad region, needs context to pinpoint a specific island or territory"
Piscataqua,Likely United States,"Likely refers to the Piscataqua River, which forms a border between Maine and New Hampshire, USA"
Amelia Island,United States,"Island off the coast of Florida, USA"
Galam,Senegal,Historical region or kingdom in Senegal
Formosa,Taiwan (Likely),Historically known as Formosa. Could potentially refer to other places named after this historical term.
Fernando Po,Equatorial Guinea,"Former name of Bioko Island, the main island of Equatorial Guinea"
Eva,Uncertain,Potentially a very localized name or historical settlement. More context and research would be needed.
Drouin,Uncertain,"Potentially related to a surname, or a smaller town. Without context it's difficult to pinpoint a modern location."
Dembia,Uncertain,Could be a historical place name or region in Africa. More context would be needed.
Delagoa,Mozambique,"Likely refers to Delagoa Bay (now Maputo Bay), a major geographical feature in Mozambique"
Cote de Malaguette (runs through to Cape Palmas on Windward Coast),Multiple,"Refers to the historical region also known as the ""Pepper Coast"" or ""Grain Coast"", covering parts of modern-day Liberia and potentially portions of neighboring countries"
Costa Leste Occidental,Uncertain,"Potentially a historical reference to a stretch of coastline, but the meaning and location are unclear without more context"
Costa de Africa (mainland coast around S Tome/Principe),Multiple,Refers to the mainland African coast in the general vicinity of São Tomé and Príncipe
Vigo,Spain,City in northwestern Spain
Tybee Island,United States,"Island off the coast of Georgia, USA"
Dois Rios,Brazil,"Likely refers to a place at the confluence of two rivers (""dois rios"" is Portuguese for ""two rivers""). Multiple places named Dois Rios exist in Brazil."
Coanza River,Angola,Major river in Angola
Chama,Uncertain,"Could be a place name in various countries, or potentially related to a surname. More context is necessary."
Casnasonis (location undetermined),Uncertain,Likely a very localized or historical place name. More research and context needed for a definitive answer.
Casamance,Senegal,River and region in southern Senegal
Seville,Spain,City in southern Spain
Puerto de Plata,Dominican Republic,City on the northern coast of the Dominican Republic
Monte Christi,Dominican Republic,Likely refers to the city of Montecristi in the Dominican Republic
Honduras,Honduras,Country in Central America
Roanoke,United States,"Likely refers to the historical Roanoke Colony in North Carolina, USA."
Cape Mole,Haiti,"Likely refers to Môle-Saint-Nicolas, a town in Haiti"
Cape Logas (location undetermined),Uncertain,Potentially a misspelling or historical name for a cape. More research and context are needed.
Orinoko,Venezuela (primarily),"Refers to the Orinoco River, a major river system flowing through Venezuela. It also extends slightly into Colombia."
Morant Bay,Jamaica,Town and bay in Jamaica
British Americas,Multiple,"Refers to former British colonies in the Americas (North America, Caribbean, portions of South America)"
Brazil,Brazil,Country in South America
